Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2010","2010","kg","118.82","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2011","2011","kg","116.29","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2012","2012","kg","114.91","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2013","2013","kg","115.13","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1961","1961","kg","39.55","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1962","1962","kg","42.38","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1963","1963","kg","44.26","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1964","1964","kg","36.29","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1965","1965","kg","43.75","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1966","1966","kg","45.45","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1967","1967","kg","47.14","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1968","1968","kg","48.11","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1969","1969","kg","47.71","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1970","1970","kg","48.61","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1971","1971","kg","51.85","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1972","1972","kg","54.25","Fc","Calculated data"
